99994.51945,-0.900961329,-1.308357259,-4.326492068,2.979348043
99994.52565,-0.927458596,-1.289582132,-4.223463179,3.078626625
99994.53185,-0.953309402,-1.270202162,-4.117903907,3.174511894
99994.53837,-0.979789215,-1.249185456,-4.00424855,3.271640589
99994.54489,-1.005519613,-1.227548185,-3.888046511,3.364857559
99994.55141,-1.030484418,-1.205316101,-3.769431505,3.454089121
99994.55793,-1.054668352,-1.182515402,-3.648539448,3.539266272
99994.56452,-1.078288271,-1.15893519,-3.524260108,3.621119125
99994.5711,-1.101082937,-1.134829939,-3.397943081,3.698708393
99994.57769,-1.123039407,-1.110227922,-3.269734721,3.771977591
99994.58427,-1.144145721,-1.085157744,-3.139782967,3.840875379
99994.59061,-1.163637942,-1.060624726,-3.013260046,3.902988118
99994.59694,-1.18232425,-1.035711244,-2.885396438,3.960975611
99994.60328,-1.200196576,-1.010443546,-2.756327535,4.014805629
99994.60961,-1.217247719,-0.984848047,-2.626189466,4.064450489
99994.6157,-1.232848654,-0.959975729,-2.500292637,4.108178883
99994.62179,-1.247681039,-0.934849137,-2.373657358,4.148006969
99994.62787,-1.26174075,-0.909492053,-2.24640584,4.183922003
99994.63396,-1.275024411,-0.883928311,-2.118660402,4.215915154
99994.6398,-1.287038881,-0.859226099,-1.995729561,4.24292282
99994.64564,-1.298334681,-0.834376723,-1.872564897,4.266313754
99994.65148,-1.308910759,-0.809401306,-1.749274454,4.286090223
99994.65732,-1.318766698,-0.784320931,-1.625965945,4.302257792
99994.66291,-1.327518873,-0.760256709,-1.508122815,4.314351631
99994.66849,-1.335613319,-0.736134116,-1.390454999,4.323163357
99994.67408,-1.343051275,-0.71197145,-1.273055624,4.328706178
99994.67966,-1.349834497,-0.687786917,-1.156017204,4.330995992
99994.68497,-1.355674268,-0.664807476,-1.045246934,4.330175063
99994.69027,-1.360927549,-0.641840098,-0.934963682,4.326453079
99994.69558,-1.365597129,-0.618900127,-0.825245074,4.319850308
99994.70089,-1.369686209,-0.596002783,-0.716167992,4.31038913
99994.70586,-1.372998556,-0.57456875,-0.614464267,4.298933186
99994.71084,-1.375806221,-0.553197925,-0.513454803,4.285003711
99994.71582,-1.378112816,-0.531902569,-0.413201225,4.268624171
99994.7208,-1.379922253,-0.510694815,-0.313764407,4.249819587
99994.72536,-1.381146219,-0.491370777,-0.223518927,4.230505138
99994.72992,-1.381960679,-0.472139297,-0.134053619,4.209202871
99994.73447,-1.382369292,-0.453009385,-0.045413444,4.185935328
99994.73903,-1.382375918,-0.433989942,0.042357267,4.160726076
99994.74293,-1.382065351,-0.417804452,0.116761807,4.137624203
99994.74683,-1.381465897,-0.401711792,0.190470241,4.113133716
99994.75073,-1.380580324,-0.385717347,0.263455893,4.087271155
99994.75463,-1.379411503,-0.369826434,0.335692472,4.060053574
99994.75863,-1.377922259,-0.353647706,0.408946202,4.030761202
99994.76263,-1.376141736,-0.337588901,0.48135786,4.000082558
99994.76663,-1.374073356,-0.321655525,0.552900393,3.968037673
99994.77063,-1.371720648,-0.305853,0.623547217,3.934647113
99994.77521,-1.368683404,-0.287932667,0.703277643,3.894803299
99994.77978,-1.365284033,-0.270198631,0.781761945,3.85325658
99994.78436,-1.361528325,-0.252658611,0.858962553,3.810040285
99994.78894,-1.357422238,-0.23532017,0.934842781,3.765188568
99994.79397,-1.352515278,-0.216515505,1.016630734,3.714076917
99994.799,-1.347201279,-0.1979726,1.096736024,3.66108161
99994.80402,-1.341488817,-0.179700806,1.175113751,3.606251248
99994.80905,-1.335386684,-0.161709224,1.251720409,3.549635491
99994.81448,-1.328375949,-0.142621172,1.332342405,3.48660429
99994.8199,-1.320933652,-0.123880422,1.410802416,3.421618649
99994.82533,-1.313071661,-0.1054974,1.487051303,3.354744905
99994.83075,-1.304802094,-0.087482164,1.561041947,3.2860506
99994.83591,-1.296578956,-0.070715602,1.629206627,3.219160884
99994.84106,-1.288009897,-0.054297777,1.695255108,3.150749776
99994.84622,-1.279105918,-0.038236379,1.759152075,3.080878058
99994.85137,-1.269878192,-0.022538774,1.820863942,3.009607306
99994.85608,-1.261175528,-0.008523251,1.875299748,2.943333079
99994.86079,-1.252220948,0.005177679,1.927862558,2.875991547
99994.8655,-1.243023324,0.018559103,1.978530561,2.807631258
99994.87021,-1.233591625,0.031616342,2.027283192,2.738301181
99994.8742,-1.225411308,0.042438758,2.067136591,2.678745789
99994.8782,-1.217074556,0.053021941,2.105585726,2.618558044
99994.88219,-1.208586999,0.063363424,2.142620132,2.55776853
99994.88619,-1.199954311,0.073460865,2.178230004,2.496407991
99994.89115,-1.189047443,0.085649624,2.220429036,2.419508676
99994.89611,-1.177936831,0.097455118,2.26040383,2.341836856
99994.90107,-1.166633542,0.108873663,2.298139849,2.263452208
99994.90602,-1.155148706,0.119901873,2.33362413,2.184414634
99994.91174,-1.141694722,0.132129988,2.371731181,2.092543946
99994.91746,-1.128031486,0.143830757,2.406814215,1.999977561
99994.92318,-1.114176329,0.155000463,2.438861109,1.9068082
99994.9289,-1.10014663,0.165635926,2.467862533,1.813128661
99994.93473,-1.085683092,0.175925128,2.494285241,1.71720241
99994.94055,-1.071074797,0.185654158,2.517532318,1.620940939
99994.94638,-1.056340262,0.194821348,2.537602727,1.524442544
99994.95221,-1.041497992,0.203425603,2.554498403,1.427805245
99994.95782,-1.0271318,0.211172959,2.567763355,1.334777681
99994.96343,-1.012699426,0.21839864,2.578100262,1.241798847
99994.96904,-0.998217271,0.225103162,2.585518524,1.148955155
99994.97465,-0.983701665,0.231287524,2.590030019,1.056332492
